"Federal Provider Number","Provider State","Percent Vaccinated Residents","Percent Vaccinated Healthcare Personnel","Percent of Fully Vaccinated Residents who Received a Booster Dose","Percent of Fully Vaccinated Staff who Received a Booster Dose","Date vaccination data last updated"
"155847","IN","92.9","81.0","46.2","52.9","03/20/2022"
"155848","IN","87.5","96.2","71.4","76.0","03/20/2022"
"155849","IN","50.0","91.5","94.4","18.7","03/20/2022"
"155850","IN","77.5","71.3","85.5","32.3","03/20/2022"
"155851","IN","78.7","76.9","73.0","22.9","03/20/2022"
"155852","IN","77.1","85.4","100.0","69.3","03/20/2022"
"155853","IN","96.2","83.6","80.4","40.2","03/20/2022"
"155854","IN","82.1","86.4","84.4","57.9","03/20/2022"
"155855","IN","91.4","64.3","100.0","44.4","03/20/2022"
"155856","IN","89.8","86.4","79.5","47.2","03/20/2022"
"155857","IN","78.3","75.4","0.0","16.3","03/20/2022"
"155858","IN","98.5","93.2","98.5","20.0","03/20/2022"
"15A011","IN","92.2","72.3","77.7","26.4","03/20/2022"
"15E064","IN","94.1","90.7","84.4","5.1","03/20/2022"
"15E247","IN","100.0","100.0","96.8","62.2","03/20/2022"
"15E667","IN","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"15E681","IN","100.0","100.0","100.0","87.2","03/20/2022"
"15E683","IN","87.5","61.8","92.9","57.1","03/20/2022"
"165006","IA","100.0","95.8","93.8","60.9","03/20/2022"
"165017","IA","96.4","96.8","75.0","46.7","03/20/2022"
"165019","IA","100.0","95.6","97.6","56.0","03/20/2022"
"165030","IA","100.0","98.6","100.0","96.1","03/20/2022"
"165033","IA","81.5","70.5","49.1","37.1","03/20/2022"
"165034","IA","92.6","85.7","89.3","28.2","03/20/2022"
"165049","IA","97.7","86.5","100.0","41.0","03/20/2022"
"165072","IA","96.9","94.7","92.3","33.5","03/20/2022"
"165081","IA","96.4","96.9","94.3","31.2","03/20/2022"
"165082","IA","96.7","71.6","100.0","34.5","03/20/2022"
"165104","IA","96.9","82.1","88.7","50.6","03/20/2022"
"165110","IA","90.2","83.9","92.8","33.0","03/20/2022"
"165118","IA","100.0","93.5","93.9","18.0","03/20/2022"
"165135","IA","92.9","84.4","84.6","11.1","03/20/2022"
"165145","IA","100.0","75.0","100.0","94.9","03/20/2022"
"165146","IA","100.0","100.0","94.4","48.8","03/20/2022"
"165147","IA","100.0","93.0","85.7","45.3","03/20/2022"
"165151","IA","93.5","69.9","96.6","5.0","03/20/2022"
"165152","IA","95.2","86.7","76.3","37.8","03/20/2022"
"165155","IA","93.3","89.1","91.1","24.6","03/20/2022"
"165156","IA","96.4","82.9","86.8","8.8","03/20/2022"
"165157","IA","93.1","65.6","90.7","5.9","03/20/2022"
"165158","IA","90.7","88.7","95.9","35.1","03/20/2022"
"165161","IA","88.2","46.8","95.6","30.6","03/20/2022"
"165162","IA","98.9","69.0","95.7","16.9","03/20/2022"
"165163","IA","77.8","95.1","61.9","47.9","03/20/2022"
"165165","IA","75.9","58.0","24.2","75.0","03/20/2022"
"165167","IA","93.9","85.3","84.8","20.7","03/20/2022"
"165169","IA","86.3","89.1","65.9","13.1","03/20/2022"
"165170","IA","87.5","85.4","88.6","82.9","03/20/2022"
"165171","IA","97.8","100.0","100.0","100.0","03/20/2022"
"165172","IA","97.9","98.0","85.1","14.3","03/20/2022"
"165173","IA","80.0","84.9","79.2","24.4","03/20/2022"
"165174","IA","94.1","84.3","100.0","62.7","03/20/2022"
"165175","IA","95.1","87.7","82.8","4.0","03/20/2022"
"165176","IA","92.3","69.3","95.8","25.0","03/20/2022"
"165177","IA","93.5","88.4","98.3","64.5","03/20/2022"
"165178","IA","96.8","85.0","98.3","48.1","03/20/2022"
"165179","IA","90.0","79.7","91.7","23.5","03/20/2022"
"165180","IA","93.5","76.3","72.4","27.6","03/20/2022"
"165181","IA","84.0","90.5","76.2","22.8","03/20/2022"
"165183","IA","78.6","73.3","77.3","30.9","03/20/2022"
"165185","IA","83.3","82.6","75.0","39.5","03/20/2022"
"165186","IA","93.2","86.5","89.9","15.7","03/20/2022"
"165187","IA","95.2","76.0","95.0","52.6","03/20/2022"
"165188","IA","93.9","82.4","90.3","33.9","03/20/2022"
"165189","IA","90.0","80.0","55.6","8.3","03/20/2022"
"165190","IA","97.3","73.5","81.9","40.3","03/20/2022"
"165191","IA","100.0","91.1","92.1","26.8","03/20/2022"
"165192","IA","91.5","90.5","83.7","35.1","03/20/2022"
"165193","IA","92.5","71.0","100.0","0.0","03/20/2022"
"165196","IA","100.0","82.4","96.3","53.6","03/20/2022"
"165197","IA","95.0","72.3","94.7","23.5","03/20/2022"
"165198","IA","84.9","88.2","95.6","16.2","03/20/2022"
"165199","IA","95.6","72.2","81.5","40.4","03/20/2022"
"165202","IA","95.8","88.8","93.5","20.3","03/20/2022"
"165203","IA","95.2","68.6","95.0","8.3","03/20/2022"
"165204","IA","96.2","74.7","94.0","32.1","03/20/2022"
"165205","IA","91.2","70.1","76.9","31.5","03/20/2022"
"165206","IA","93.3","73.3","78.6","21.2","03/20/2022"
"165207","IA","93.8","82.1","84.4","32.7","03/20/2022"
"165208","IA","95.1","91.7","76.9","34.1","03/20/2022"
"165209","IA","95.0","95.1","84.2","29.9","03/20/2022"
"165210","IA","97.3","78.9","88.9","33.3","03/20/2022"
"165211","IA","94.6","92.0","86.7","3.1","03/20/2022"
"165213","IA","97.2","88.5","74.3","40.7","03/20/2022"
"165214","IA","89.5","91.9","90.9","55.7","03/20/2022"
"165215","IA","92.3","66.2","91.7","16.3","03/20/2022"
"165217","IA","100.0","100.0","97.3","56.4","03/20/2022"
"165218","IA","88.1","81.2","92.3","56.1","03/20/2022"
"165219","IA","96.7","77.8","100.0","38.1","03/20/2022"
"165220","IA","100.0","64.9","100.0","21.3","03/20/2022"
"165222","IA","94.9","70.6","76.8","31.3","03/20/2022"
"165223","IA","80.4","79.5","66.7","36.2","03/20/2022"
"165224","IA","92.3","75.0","70.8","35.3","03/20/2022"
"165225","IA","87.0","57.5","97.9","8.7","03/20/2022"
"165226","IA","86.1","76.7","0.0","39.4","03/20/2022"
"165227","IA","95.3","84.2","86.9","61.2","03/20/2022"
"165228","IA","94.9","95.8","67.6","72.5","03/20/2022"
"165230","IA","83.8","83.3","71.0","45.0","03/20/2022"
"165231","IA","100.0","97.4","100.0","64.5","03/20/2022"
"165232","IA","88.1","63.2","91.9","22.9","03/20/2022"
"165233","IA","90.7","79.1","15.4","39.6","03/20/2022"
"165234","IA","95.7","78.2","97.8","21.3","03/20/2022"
"165235","IA","90.5","89.7","100.0","62.9","03/20/2022"
"165236","IA","100.0","94.5","96.8","65.4","03/20/2022"
"165237","IA","96.0","97.8","95.8","37.8","03/20/2022"
"165238","IA","96.8","74.5","93.3","28.6","03/20/2022"
"165239","IA","97.6","92.1","95.0","15.5","03/20/2022"
"165240","IA","95.5","84.6","92.9","18.2","03/20/2022"
"165241","IA","75.0","59.5","73.3","45.5","03/20/2022"
"165243","IA","100.0","94.6","100.0","67.0","03/20/2022"
"165245","IA","94.0","90.6","80.9","16.7","03/20/2022"
"165247","IA","100.0","92.3","73.3","38.9","03/20/2022"
"165248","IA","55.6","75.7","70.0","39.3","03/20/2022"
"165249","IA","100.0","86.8","88.5","36.4","03/20/2022"
"165251","IA","86.2","85.7","79.8","2.1","03/20/2022"
"165252","IA","97.1","72.9","91.2","20.9","03/20/2022"
"165253","IA","81.4","84.1","77.1","13.8","03/20/2022"
"165254","IA","100.0","90.6","95.0","51.7","03/20/2022"
"165255","IA","91.8","85.6","83.9","28.9","03/20/2022"
"165256","IA","92.5","88.0","62.2","13.6","03/20/2022"
"165257","IA","87.5","74.7","64.3","28.8","03/20/2022"
"165259","IA","97.2","78.3","88.6","66.0","03/20/2022"
"165260","IA","90.5","81.8","78.9","33.3","03/20/2022"
"165261","IA","98.2","80.5","88.9","33.3","03/20/2022"
"165262","IA","84.0","62.2","47.6","65.2","03/20/2022"
"165263","IA","96.9","91.1","87.1","36.6","03/20/2022"
"165264","IA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"165265","IA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"165266","IA","98.1","91.3","80.4","46.8","03/20/2022"
"165267","IA","97.6","77.8","90.2","38.6","03/20/2022"
"165268","IA","76.2","81.2","66.7","24.6","03/20/2022"
"165269","IA","100.0","67.4","95.5","55.0","03/20/2022"
"165270","IA","90.9","80.6","90.0","37.0","03/20/2022"
"165271","IA","90.8","78.3","75.4","21.7","03/20/2022"
"165272","IA","83.5","99.0","100.0","8.4","03/20/2022"
"165273","IA","93.3","94.4","85.7","27.4","03/20/2022"
"165274","IA","91.4","44.6","90.6","6.7","03/20/2022"
"165275","IA","100.0","81.4","100.0","42.9","03/20/2022"
"165278","IA","79.7","100.0","100.0","100.0","03/20/2022"
"165279","IA","87.3","79.4","83.6","43.5","03/20/2022"
"165280","IA","63.3","67.1","87.1","30.6","03/20/2022"
"165281","IA","90.0","87.7","88.9","16.0","03/20/2022"
"165282","IA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"165283","IA","80.0","46.7","96.4","45.7","03/20/2022"
"165284","IA","93.8","80.0","93.3","40.0","03/20/2022"
"165285","IA","91.3","75.0","81.0","20.8","03/20/2022"
"165286","IA","100.0","90.9","100.0","77.1","03/20/2022"
"165287","IA","98.3","76.5","91.2","50.0","03/20/2022"
"165288","IA","72.4","66.1","83.3","12.2","03/20/2022"
"165290","IA","96.2","98.2","90.0","53.2","03/20/2022"
"165291","IA","99.1","82.9","96.2","38.1","03/20/2022"
"165292","IA","96.0","91.3","50.0","11.1","03/20/2022"
"165293","IA","92.0","75.4","91.4","12.2","03/20/2022"
"165294","IA","87.8","77.2","50.0","18.0","03/20/2022"
"165295","IA","91.7","84.0","54.5","23.8","03/20/2022"
"165296","IA","98.0","84.6","98.0","47.7","03/20/2022"
"165297","IA","92.3","69.4","100.0","40.0","03/20/2022"
"165298","IA","86.0","67.2","95.9","41.0","03/20/2022"
"165299","IA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"165300","IA","95.0","67.1","100.0","71.4","03/20/2022"
"165301","IA","91.7","55.9","86.4","57.6","03/20/2022"
"165302","IA","93.3","89.7","81.0","16.4","03/20/2022"
"165303","IA","92.3","100.0","88.9","59.5","03/20/2022"
"165304","IA","94.3","76.6","90.9","29.6","03/20/2022"
"165305","IA","0.0","0.0","0.0","0.0","03/20/2022"
"165306","IA","91.3","83.7","76.2","39.0","03/20/2022"
"165307","IA","86.9","82.0","90.2","53.3","03/20/2022"
"165308","IA","91.8","84.7","71.6","29.7","03/20/2022"
"165309","IA","97.3","78.9","88.9","42.9","03/20/2022"
"165310","IA","97.5","63.8","89.0","0.0","03/20/2022"
"165311","IA","100.0","68.9","100.0","41.9","03/20/2022"
"165312","IA","92.3","66.7","86.1","14.7","03/20/2022"
"165313","IA","88.2","73.3","93.3","0.0","03/20/2022"
"165314","IA","87.9","85.0","89.7","31.4","03/20/2022"
"165316","IA","95.6","83.8","97.7","35.1","03/20/2022"
"165318","IA","100.0","89.8","97.4","42.1","03/20/2022"
"165320","IA","100.0","97.5","88.6","82.1","03/20/2022"
"165322","IA","95.5","86.9","88.1","54.8","03/20/2022"
"165323","IA","82.1","71.0","95.7","13.6","03/20/2022"
"165324","IA","92.9","65.9","82.1","0.0","03/20/2022"
"165325","IA","100.0","91.7","83.7","33.8","03/20/2022"
"165326","IA","97.8","88.4","84.4","21.3","03/20/2022"
"165327","IA","93.8","78.3","93.3","40.4","03/20/2022"
"165329","IA","100.0","84.0","77.8","47.6","03/20/2022"
"165330","IA","83.7","89.6","97.6","100.0","03/20/2022"
"165331","IA","96.4","85.5","81.5","51.1","03/20/2022"
"165332","IA","92.7","75.6","86.8","41.2","03/20/2022"
"165333","IA","97.5","95.8","84.6","28.7","03/20/2022"
"165334","IA","96.8","92.2","83.3","30.1","03/20/2022"
"165335","IA","91.1","78.1","87.8","52.6","03/20/2022"
"165336","IA","96.9","100.0","90.3","36.8","03/20/2022"
"165337","IA","91.2","98.6","61.3","38.6","03/20/2022"
"165338","IA","95.0","96.6","100.0","100.0","03/20/2022"
"165339","IA","100.0","92.3","96.9","25.0","03/20/2022"
"165340","IA","97.4","83.7","48.6","26.4","03/20/2022"
"165341","IA","93.5","92.6","100.0","60.3","03/20/2022"
"165342","IA","97.3","91.0","80.6","59.0","03/20/2022"
"165343","IA","94.7","96.4","94.4","42.5","03/20/2022"
"165344","IA","79.2","100.0","100.0","11.5","03/20/2022"
"165345","IA","83.5","73.2","83.3","11.7","03/20/2022"
"165346","IA","95.5","86.5","95.2","60.9","03/20/2022"
"165347","IA","100.0","86.5","95.2","26.6","03/20/2022"
"165349","IA","93.5","89.5","83.7","20.6","03/20/2022"
"165350","IA","95.6","90.4","66.2","43.6","03/20/2022"
"165351","IA","93.5","69.1","89.7","44.7","03/20/2022"
"165352","IA","97.1","98.6","93.9","36.6","03/20/2022"
"165353","IA","100.0","91.9","79.4","21.5","03/20/2022"
"165354","IA","98.1","88.8","88.5","38.7","03/20/2022"
"165355","IA","89.7","91.9","100.0","64.7","03/20/2022"
"165356","IA","95.0","83.6","84.2","0.0","03/20/2022"
"165357","IA","94.0","95.0","93.6","66.7","03/20/2022"
"165358","IA","87.8","67.5","83.3","35.2","03/20/2022"
"165359","IA","97.4","90.2","94.6","10.9","03/20/2022"
"165361","IA","100.0","98.2","91.7","37.5","03/20/2022"
"165362","IA","98.0","92.9","81.3","11.5","03/20/2022"
"165363","IA","95.3","89.7","97.6","54.3","03/20/2022"
"165364","IA","100.0","87.8","90.5","12.3","03/20/2022"
"165365","IA","96.5","92.0","83.6","38.3","03/20/2022"
"165366","IA","96.2","95.2","94.0","92.0","03/20/2022"
"165367","IA","100.0","88.5","82.1","24.7","03/20/2022"
"165369","IA","98.4","90.2","100.0","18.8","03/20/2022"
"165372","IA","97.4","96.1","94.7","44.4","03/20/2022"
"165373","IA","98.5","88.6","66.7","43.1","03/20/2022"
"165374","IA","96.4","87.5","96.3","21.4","03/20/2022"
"165375","IA","100.0","87.3","61.8","35.5","03/20/2022"
"165376","IA","88.5","81.8","60.9","18.5","03/20/2022"
"165377","IA","100.0","93.9","100.0","62.9","03/20/2022"
"165379","IA","97.7","70.0","97.7","28.6","03/20/2022"
"165380","IA","94.4","96.5","97.1","53.0","03/20/2022"
"165381","IA","65.2","73.9","0.0","0.0","03/20/2022"
"165382","IA","98.0","56.9","92.0","42.4","03/20/2022"
"165383","IA","95.9","79.3","95.7","73.9","03/20/2022"
"165384","IA","93.9","86.8","100.0","18.6","03/20/2022"
"165385","IA","93.7","88.9","94.9","35.0","03/20/2022"
"165386","IA","96.8","84.1","96.7","70.7","03/20/2022"
"165387","IA","82.8","100.0","100.0","44.8","03/20/2022"
"165388","IA","92.3","95.6","95.8","76.7","03/20/2022"
"165389","IA","75.0","92.5","75.0","38.8","03/20/2022"
"165390","IA","80.0","71.4","78.6","43.3","03/20/2022"
"165391","IA","94.3","60.2","97.0","49.1","03/20/2022"
"165394","IA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"165395","IA","95.8","84.6","91.3","57.6","03/20/2022"
"165396","IA","94.7","73.5","92.6","22.1","03/20/2022"
"165397","IA","96.2","53.8","96.0","22.9","03/20/2022"
"165399","IA","94.3","94.0","90.9","41.3","03/20/2022"
"165401","IA","97.0","58.6","68.8","32.4","03/20/2022"
"165402","IA","92.3","61.4","75.0","7.0","03/20/2022"
"165404","IA","100.0","76.6","91.4","22.4","03/20/2022"
"165405","IA","98.1","79.7","88.5","49.2","03/20/2022"
"165406","IA","95.2","84.0","95.0","69.0","03/20/2022"
"165408","IA","100.0","41.7","95.0","30.0","03/20/2022"
"165411","IA","96.3","86.9","71.2","75.5","03/20/2022"
"165412","IA","93.3","78.8","97.6","50.7","03/20/2022"
"165413","IA","85.0","85.7","100.0","39.6","03/20/2022"
"165414","IA","100.0","71.1","86.4","62.5","03/20/2022"
"165418","IA","97.1","96.0","100.0","60.4","03/20/2022"
"165420","IA","90.9","75.5","92.5","40.0","03/20/2022"
"165421","IA","88.6","78.2","69.2","23.3","03/20/2022"
"165423","IA","93.7","78.5","86.4","41.1","03/20/2022"
"165424","IA","97.4","87.1","100.0","53.3","03/20/2022"
"165425","IA","100.0","62.5","94.1","31.4","03/20/2022"
"165426","IA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"165427","IA","91.7","67.1","72.7","31.9","03/20/2022"
"165428","IA","96.9","66.2","80.6","20.9","03/20/2022"
"165431","IA","90.9","50.0","75.0","16.0","03/20/2022"
"165432","IA","97.0","81.7","85.9","38.3","03/20/2022"
"165433","IA","100.0","94.6","94.3","47.2","03/20/2022"
"165434","IA","95.1","80.4","87.2","24.3","03/20/2022"
"165435","IA","100.0","77.8","96.7","74.3","03/20/2022"
"165436","IA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"165437","IA","93.2","69.5","78.0","36.6","03/20/2022"
"165438","IA","100.0","69.4","100.0","64.7","03/20/2022"
"165439","IA","89.5","56.1","9.8","29.7","03/20/2022"
"165440","IA","93.6","68.4","100.0","94.9","03/20/2022"
"165441","IA","100.0","90.1","64.6","18.6","03/20/2022"
"165442","IA","96.4","87.3","98.8","35.5","03/20/2022"
"165443","IA","93.6","79.0","77.3","35.4","03/20/2022"
"165444","IA","63.9","57.4","78.3","9.7","03/20/2022"
"165445","IA","100.0","37.0","88.9","10.0","03/20/2022"
"165446","IA","100.0","81.2","97.9","76.8","03/20/2022"
"165447","IA","98.6","94.3","94.4","35.6","03/20/2022"
"165448","IA","93.1","99.5","86.1","40.5","03/20/2022"
"165449","IA","94.8","91.5","96.4","58.8","03/20/2022"
"165450","IA","84.9","85.1","84.4","42.1","03/20/2022"
"165451","IA","90.7","88.5","91.8","61.0","03/20/2022"
"165452","IA","96.7","77.0","86.2","40.4","03/20/2022"
"165453","IA","86.8","77.6","81.8","21.2","03/20/2022"
"165455","IA","93.0","67.5","80.0","25.0","03/20/2022"
"165456","IA","100.0","84.7","86.2","52.0","03/20/2022"
"165458","IA","100.0","85.7","0.0","58.3","03/20/2022"
"165460","IA","96.8","83.3","90.0","23.1","03/20/2022"
"165461","IA","69.6","97.4","68.8","2.6","03/20/2022"
"165462","IA","97.8","83.6","95.5","44.3","03/20/2022"
"165463","IA","100.0","100.0","97.9","56.3","03/20/2022"
"165465","IA","93.5","84.4","91.3","45.8","03/20/2022"
"165466","IA","91.4","95.5","84.4","45.7","03/20/2022"
"165467","IA","100.0","80.0","100.0","70.5","03/20/2022"
"165468","IA","95.4","92.1","98.4","44.3","03/20/2022"
"165470","IA","90.6","63.6","93.8","33.3","03/20/2022"
"165471","IA","97.0","87.5","97.5","37.0","03/20/2022"
"165472","IA","96.4","75.9","61.7","36.6","03/20/2022"
"165473","IA","98.5","88.8","90.6","41.8","03/20/2022"
"165474","IA","100.0","57.4","97.1","45.2","03/20/2022"
"165475","IA","100.0","80.0","100.0","68.8","03/20/2022"
"165476","IA","100.0","81.5","93.1","45.5","03/20/2022"
"165478","IA","72.2","95.8","79.5","36.3","03/20/2022"
"165479","IA","100.0","92.1","94.2","14.8","03/20/2022"
"165480","IA","96.5","74.1","90.9","43.4","03/20/2022"
"165481","IA","100.0","95.8","100.0","40.9","03/20/2022"
"165482","IA","94.0","86.3","97.9","52.4","03/20/2022"
"165483","IA","98.1","89.0","98.1","37.7","03/20/2022"
"165484","IA","91.2","73.3","76.9","19.8","03/20/2022"
"165485","IA","96.9","79.5","90.3","33.3","03/20/2022"
"165486","IA","93.5","68.6","100.0","5.7","03/20/2022"
"165487","IA","94.4","93.6","85.3","18.3","03/20/2022"
"165488","IA","81.5","72.9","100.0","37.2","03/20/2022"
"165489","IA","85.7","91.1","95.8","31.4","03/20/2022"
"165490","IA","96.2","83.1","84.0","14.3","03/20/2022"
"165491","IA","89.2","88.5","78.8","40.2","03/20/2022"
"165492","IA","100.0","73.2","100.0","36.7","03/20/2022"
"165494","IA","94.4","60.0","100.0","33.3","03/20/2022"
"165495","IA","95.7","80.0","100.0","36.7","03/20/2022"
"165497","IA","93.0","55.7","100.0","10.3","03/20/2022"
"165498","IA","96.5","92.1","100.0","0.0","03/20/2022"
"165499","IA","96.0","95.1","95.8","28.2","03/20/2022"
"165500","IA","97.0","95.7","100.0","2.2","03/20/2022"
"165501","IA","89.1","70.8","87.8","58.8","03/20/2022"
"165502","IA","80.0","85.4","97.2","60.0","03/20/2022"
"165503","IA","97.9","77.9","94.6","48.1","03/20/2022"
"165504","IA","97.0","73.1","71.9","26.5","03/20/2022"
"165507","IA","97.1","97.2","94.0","63.2","03/20/2022"
"165508","IA","100.0","88.6","100.0","94.3","03/20/2022"
"165509","IA","94.0","93.7","93.7","60.5","03/20/2022"
"165510","IA","Not Available","88.2","Not Available","25.0","03/20/2022"
"165511","IA","100.0","74.7","93.8","66.1","03/20/2022"
"165513","IA","98.8","83.5","89.2","30.7","03/20/2022"
"165514","IA","95.2","90.8","83.1","66.7","03/20/2022"
"165515","IA","100.0","62.8","56.5","11.1","03/20/2022"
"165516","IA","92.5","67.6","87.8","42.0","03/20/2022"
"165521","IA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"165522","IA","96.0","83.6","95.8","50.0","03/20/2022"
"165523","IA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"165524","IA","100.0","85.7","93.4","53.1","03/20/2022"
"165525","IA","98.1","84.3","100.0","60.0","03/20/2022"
"165527","IA","100.0","73.5","94.7","16.4","03/20/2022"
"165528","IA","98.2","61.2","55.6","0.0","03/20/2022"
"165529","IA","92.1","79.5","65.7","43.1","03/20/2022"
"165530","IA","94.7","80.6","96.3","32.5","03/20/2022"
"165531","IA","95.0","90.6","78.9","62.5","03/20/2022"
"165532","IA","98.6","90.3","91.5","55.0","03/20/2022"
"165533","IA","82.5","71.4","93.9","30.0","03/20/2022"
"165534","IA","93.3","85.2","85.7","43.5","03/20/2022"
"165535","IA","93.9","78.3","90.3","33.3","03/20/2022"
"165536","IA","96.1","75.4","83.6","56.1","03/20/2022"
"165537","IA","97.2","88.1","86.4","32.7","03/20/2022"
"165538","IA","100.0","57.8","96.5","24.7","03/20/2022"
"165539","IA","97.1","87.5","97.0","37.5","03/20/2022"
"165540","IA","93.2","74.2","39.0","32.7","03/20/2022"
"165541","IA","96.0","85.7","87.5","18.3","03/20/2022"
"165542","IA","98.2","94.7","98.2","58.6","03/20/2022"
"165543","IA","100.0","93.2","87.9","44.5","03/20/2022"
"165545","IA","100.0","92.3","96.4","41.7","03/20/2022"
"165546","IA","94.4","63.8","64.7","32.4","03/20/2022"
"165547","IA","86.2","89.9","92.0","32.4","03/20/2022"
"165548","IA","100.0","93.1","96.5","33.7","03/20/2022"
"165549","IA","100.0","96.2","84.1","51.3","03/20/2022"
"165550","IA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"165552","IA","97.9","85.4","95.7","47.1","03/20/2022"
"165553","IA","94.9","79.3","92.9","53.0","03/20/2022"
"165554","IA","100.0","81.1","93.3","61.7","03/20/2022"
"165555","IA","91.5","86.2","74.4","33.9","03/20/2022"
"165556","IA","100.0","86.3","96.8","55.8","03/20/2022"
"165557","IA","96.3","91.0","100.0","35.2","03/20/2022"
"165559","IA","94.3","83.2","94.0","26.6","03/20/2022"
"165561","IA","94.6","83.1","96.2","54.1","03/20/2022"
"165562","IA","97.2","86.3","97.1","43.2","03/20/2022"
"165565","IA","92.7","79.1","86.3","29.9","03/20/2022"
"165566","IA","100.0","89.2","100.0","30.9","03/20/2022"
"165567","IA","100.0","100.0","100.0","62.8","03/20/2022"
"165568","IA","97.1","84.1","75.8","22.6","03/20/2022"
"165569","IA","92.0","75.0","82.6","50.0","03/20/2022"
"165570","IA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"165574","IA","98.0","64.4","79.2","35.8","03/20/2022"
"165575","IA","89.1","86.7","91.1","17.5","03/20/2022"
"165576","IA","100.0","61.4","100.0","74.4","03/20/2022"
"165577","IA","98.0","96.1","100.0","42.1","03/20/2022"
"165578","IA","75.4","78.8","90.7","9.6","03/20/2022"
"165579","IA","100.0","87.1","100.0","77.8","03/20/2022"
"165580","IA","90.0","86.1","80.2","57.6","03/20/2022"
"165583","IA","93.9","92.7","87.1","9.0","03/20/2022"
"165584","IA","99.1","97.3","99.1","65.7","03/20/2022"
"165585","IA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"165586","IA","84.6","38.1","81.8","25.0","03/20/2022"
"165587","IA","91.5","96.7","86.0","71.2","03/20/2022"
"165589","IA","98.5","74.7","79.7","30.9","03/20/2022"
"165590","IA","97.7","81.5","97.6","54.7","03/20/2022"
"165591","IA","100.0","92.5","95.1","46.5","03/20/2022"
"165592","IA","89.3","83.6","72.0","13.0","03/20/2022"
"165593","IA","100.0","92.2","93.3","63.4","03/20/2022"
"165594","IA","95.5","83.6","100.0","44.6","03/20/2022"
"165595","IA","95.6","77.7","100.0","39.7","03/20/2022"
"165597","IA","95.1","95.5","87.2","39.1","03/20/2022"
"165598","IA","0.0","0.0","0.0","0.0","03/20/2022"
"165599","IA","100.0","94.3","100.0","85.0","03/20/2022"
"165601","IA","90.7","80.4","76.9","23.2","03/20/2022"
"165602","IA","77.3","65.4","58.8","17.6","03/20/2022"
"165603","IA","96.6","92.6","92.9","48.0","03/20/2022"
"165604","IA","92.7","80.7","94.7","38.8","03/20/2022"
"165605","IA","100.0","91.1","100.0","35.8","03/20/2022"
"165606","IA","96.8","88.4","86.7","7.9","03/20/2022"
"165607","IA","98.4","84.1","90.2","36.9","03/20/2022"
"165609","IA","100.0","90.9","95.5","51.3","03/20/2022"
"165610","IA","100.0","88.4","100.0","23.1","03/20/2022"
"165611","IA","90.6","97.3","96.6","49.3","03/20/2022"
"165612","IA","100.0","95.6","97.2","47.0","03/20/2022"
"165613","IA","100.0","91.5","100.0","58.5","03/20/2022"
"165614","IA","100.0","94.4","95.1","51.5","03/20/2022"
"165615","IA","91.7","85.1","72.7","21.1","03/20/2022"
"165616","IA","95.2","88.0","95.0","68.0","03/20/2022"
"165617","IA","100.0","95.4","98.1","85.5","03/20/2022"
"165618","IA","100.0","69.3","96.9","44.3","03/20/2022"
"165619","IA","95.6","90.3","95.4","38.9","03/20/2022"
"165620","IA","56.3","91.7","88.9","50.0","03/20/2022"
"165621","IA","94.9","85.6","100.0","27.7","03/20/2022"
"165622","IA","100.0","89.5","95.3","56.8","03/20/2022"
"165623","IA","98.1","79.2","100.0","32.9","03/20/2022"
"165624","IA","100.0","91.3","100.0","4.2","03/20/2022"
"165625","IA","93.8","88.6","93.3","36.8","03/20/2022"
"165626","IA","92.3","92.9","86.1","26.4","03/20/2022"
"165627","IA","100.0","53.7","85.2","25.0","03/20/2022"
"165788","IA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"165789","IA","100.0","84.1","100.0","7.5","03/20/2022"
"165790","IA","94.1","94.6","93.8","44.3","03/20/2022"
"165791","IA","100.0","87.9","93.3","17.2","03/20/2022"
"165792","IA","100.0","86.9","97.3","22.1","03/20/2022"
"165793","IA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"16A001","IA","76.5","88.0","69.2","45.7","03/20/2022"
"16A002","IA","96.1","80.3","96.8","72.8","03/20/2022"
"16E016","IA","96.3","93.3","100.0","54.3","03/20/2022"
"16E050","IA","100.0","98.7","100.0","53.9","03/20/2022"
"16E071","IA","95.9","92.8","97.1","81.0","03/20/2022"
"16E170","IA","96.6","90.0","92.9","34.9","03/20/2022"
"16E176","IA","97.3","89.2","97.2","20.7","03/20/2022"
"16E263","IA","92.2","100.0","17.0","35.1","03/20/2022"
"16E277","IA","100.0","93.9","95.7","53.3","03/20/2022"
