CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,Phone Number,CMS Region,Measure Code,Score,Footnote,Start Date,End Date
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_002_01_NUMERATOR,0,"13",10/01/2018,09/30/2019
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_002_01_DENOMINATOR,32,"13",10/01/2018,09/30/2019
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_002_01_OBS_RATE,0.0,"13",10/01/2018,09/30/2019
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_002_01_ADJ_RATE,0.00,"13",10/01/2018,09/30/2019
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_001_01_NUMERATOR,31,"13",10/01/2018,09/30/2019
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_001_01_DENOMINATOR,32,"13",10/01/2018,09/30/2019
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_001_01_OBS_RATE,96.9,"13",10/01/2018,09/30/2019
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_013_01_NUMERATOR,0,"13",10/01/2018,09/30/2019
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_013_01_DENOMINATOR,32,"13",10/01/2018,09/30/2019
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_013_01_OBS_RATE,0.0,"13",10/01/2018,09/30/2019
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_004_01_PPR_PD_OBS_READM,Not Available,"9",10/01/2016,09/30/2018
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_004_01_PPR_PD_VOLUME,17,,10/01/2016,09/30/2018
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_004_01_PPR_PD_OBS,Not Available,"9",10/01/2016,09/30/2018
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_004_01_PPR_PD_RSRR,Not Available,"9",10/01/2016,09/30/2018
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_004_01_PPR_PD_RSRR_2_5,Not Available,"9",10/01/2016,09/30/2018
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_004_01_PPR_PD_RSRR_97_5,Not Available,"9",10/01/2016,09/30/2018
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_004_01_PPR_PD_COMP_PERF,Not Available,"9",10/01/2016,09/30/2018
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_005_01_DTC_NUMBER,Not Available,"9",10/01/2016,09/30/2018
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_005_01_DTC_VOLUME,21,,10/01/2016,09/30/2018
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_005_01_DTC_OBS_RATE,Not Available,"9",10/01/2016,09/30/2018
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_005_01_DTC_RS_RATE,Not Available,"9",10/01/2016,09/30/2018
010007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,OPP,AL,36467,COVINGTON,(334) 493-3541,04,S_005_01_DTC_RS_RATE_2_5,Not Available,"9",10/01/2016,09/30/2018
