Year,Average Closing Price ,Year Open ,Year High ,Year Low ,Year Close ,Annual % Change
2020,3217.86,3257.85,3756.07,2237.40,3756.07,16.26%
2019,2913.36,2510.03,3240.02,2447.89,3230.78,28.88%
2018,2746.21,2695.81,2930.75,2351.10,2506.85,-6.24%
2017,2449.08,2257.83,2690.16,2257.83,2673.61,19.42%
2016,2094.65,2012.66,2271.72,1829.08,2238.83,9.54%
2015,2061.07,2058.20,2130.82,1867.61,2043.94,-0.73%
2014,1931.38,1831.98,2090.57,1741.89,2058.90,11.39%
2013,1643.80,1462.42,1848.36,1457.15,1848.36,29.60%
2012,1379.61,1277.06,1465.77,1277.06,1426.19,13.41%
2011,1267.64,1271.87,1363.61,1099.23,1257.60,0.00%
2010,1139.97,1132.99,1259.78,1022.58,1257.64,12.78%
2009,948.05,931.80,1127.78,676.53,1115.10,23.45%
2008,1220.04,1447.16,1447.16,752.44,903.25,-38.49%
2007,1477.18,1416.60,1565.15,1374.12,1468.36,3.53%
2006,1310.46,1268.80,1427.09,1223.69,1418.30,13.62%
2005,1207.23,1202.08,1272.74,1137.50,1248.29,3.00%
2004,1130.65,1108.48,1213.55,1063.23,1211.92,8.99%
2003,965.23,909.03,1111.92,800.73,1111.92,26.38%
2002,993.93,1154.67,1172.51,776.76,879.82,-23.37%
2001,1192.57,1283.27,1373.73,965.80,1148.08,-13.04%
2000,1427.22,1455.22,1527.46,1264.74,1320.28,-10.14%
1999,1327.33,1228.10,1469.25,1212.19,1469.25,19.53%
1998,1085.50,975.04,1241.81,927.69,1229.23,26.67%
1997,873.43,737.01,983.79,737.01,970.43,31.01%
1996,670.49,620.73,757.03,598.48,740.74,20.26%
1995,541.72,459.11,621.69,459.11,615.93,34.11%
